No.,fecha,ID,Nombre,lluvia,nub,vel_viento,dir_viento
1,2025-06-13,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,10.7,360.0
2,2025-06-14,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,10.0,360.0
3,2025-06-15,AMATITLAN_DOS,AMATITLAN DOS,0.0,7.0,11.0,360.0
4,2025-06-16,AMATITLAN_DOS,AMATITLAN DOS,0.0,8.0,13.3,360.0
5,2025-06-17,AMATITLAN_DOS,AMATITLAN DOS,0.0,7.0,11.7,360.0
6,2025-06-18,AMATITLAN_DOS,AMATITLAN DOS,0.0,8.0,12.7,360.0
7,2025-06-19,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,11.0,360.0
8,2025-06-20,AMATITLAN_DOS,AMATITLAN DOS,0.0,8.0,11.7,360.0
9,2025-06-21,AMATITLAN_DOS,AMATITLAN DOS,0.0,7.0,12.3,360.0
10,2025-06-22,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,10.0,360.0
11,2025-06-23,AMATITLAN_DOS,AMATITLAN DOS,0.0,7.0,11.3,360.0
12,2025-06-24,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,10.3,45.0
13,2025-06-25,AMATITLAN_DOS,AMATITLAN DOS,0.0,3.0,11.3,180.0
14,2025-06-26,AMATITLAN_DOS,AMATITLAN DOS,0.0,7.0,11.3,360.0
15,2025-06-27,AMATITLAN_DOS,AMATITLAN DOS,0.0,7.0,12.0,360.0
16,2025-06-28,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,12.0,360.0
17,2025-06-29,AMATITLAN_DOS,AMATITLAN DOS,0.0,5.0,10.0,180.0
18,2025-06-30,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,12.0,360.0
19,2025-07-01,AMATITLAN_DOS,AMATITLAN DOS,0.0,4.0,9.3,360.0
20,2025-07-02,AMATITLAN_DOS,AMATITLAN DOS,0.0,5.0,10.3,360.0
21,2025-07-03,AMATITLAN_DOS,AMATITLAN DOS,0.0,5.0,10.0,360.0
22,2025-07-04,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,10.3,360.0
23,2025-07-05,AMATITLAN_DOS,AMATITLAN DOS,0.0,7.0,12.3,360.0
24,2025-07-06,AMATITLAN_DOS,AMATITLAN DOS,0.0,5.0,10.7,360.0
25,2025-07-07,AMATITLAN_DOS,AMATITLAN DOS,0.0,8.0,12.7,360.0
26,2025-07-08,AMATITLAN_DOS,AMATITLAN DOS,0.0,5.0,10.3,180.0
27,2025-07-09,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,12.0,360.0
28,2025-07-10,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,11.7,360.0
29,2025-07-11,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,12.0,360.0
30,2025-07-12,AMATITLAN_DOS,AMATITLAN DOS,,6.0,11.0,105.0
