No.,fecha,ID,Nombre,lluvia,nub,vel_viento,dir_viento
1,2025-04-27,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,10.7,360.0
2,2025-04-28,AMATITLAN_DOS,AMATITLAN DOS,0.0,4.0,9.0,360.0
3,2025-04-29,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,10.7,180.0
4,2025-04-30,AMATITLAN_DOS,AMATITLAN DOS,0.0,5.0,12.0,360.0
5,2025-05-01,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,11.3,45.0
6,2025-05-02,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,12.0,360.0
7,2025-05-03,AMATITLAN_DOS,AMATITLAN DOS,0.0,5.0,10.3,360.0
8,2025-05-04,AMATITLAN_DOS,AMATITLAN DOS,0.0,5.0,10.7,360.0
9,2025-05-05,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,9.3,360.0
10,2025-05-06,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,9.7,360.0
11,2025-05-07,AMATITLAN_DOS,AMATITLAN DOS,0.0,5.0,11.3,360.0
12,2025-05-08,AMATITLAN_DOS,AMATITLAN DOS,0.0,4.0,10.7,360.0
13,2025-05-09,AMATITLAN_DOS,AMATITLAN DOS,0.0,8.0,12.0,360.0
14,2025-05-10,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,10.3,360.0
15,2025-05-11,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,10.3,360.0
16,2025-05-12,AMATITLAN_DOS,AMATITLAN DOS,0.0,5.0,11.3,360.0
17,2025-05-13,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,10.7,180.0
18,2025-05-14,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,11.3,360.0
19,2025-05-15,AMATITLAN_DOS,AMATITLAN DOS,0.0,5.0,11.0,360.0
20,2025-05-16,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,12.0,360.0
21,2025-05-17,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,11.7,360.0
22,2025-05-18,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,11.0,360.0
23,2025-05-19,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,10.0,360.0
24,2025-05-20,AMATITLAN_DOS,AMATITLAN DOS,0.0,4.0,9.7,360.0
25,2025-05-21,AMATITLAN_DOS,AMATITLAN DOS,0.0,4.0,10.3,360.0
26,2025-05-22,AMATITLAN_DOS,AMATITLAN DOS,0.0,5.0,9.3,360.0
27,2025-05-23,AMATITLAN_DOS,AMATITLAN DOS,0.0,7.0,12.0,360.0
28,2025-05-24,AMATITLAN_DOS,AMATITLAN DOS,0.0,6.0,10.7,180.0
29,2025-05-25,AMATITLAN_DOS,AMATITLAN DOS,0.0,7.0,11.3,360.0
30,2025-05-26,AMATITLAN_DOS,AMATITLAN DOS,,6.0,9.0,360.0
