No.,fecha,ID,tmin,tseca,tmax,eva_piche,hum_rel,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-05-02,INS141301CV,12.4,20.8,30.0,2.9,83.0,7.0,6.7,0.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
2,2025-05-03,INS141301CV,11.6,21.7,32.4,2.4,80.0,3.0,9.0,360.0,Nebaj,4.5,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
3,2025-05-04,INS141301CV,12.4,20.7,30.8,3.1,81.0,5.0,2.3,0.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
4,2025-05-05,INS141301CV,12.4,20.4,29.6,2.6,79.0,7.0,0.0,0.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
5,2025-05-06,INS141301CV,13.2,22.5,32.6,2.4,73.0,3.0,0.0,0.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
6,2025-05-07,INS141301CV,13.0,23.8,31.2,3.7,70.0,1.0,0.3,0.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
7,2025-05-08,INS141301CV,10.2,20.9,34.2,4.0,76.0,2.0,6.7,360.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
8,2025-05-09,INS141301CV,11.6,20.5,33.0,3.9,87.0,6.0,6.7,0.0,Nebaj,8.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
9,2025-05-10,INS141301CV,12.6,18.6,27.2,2.0,87.0,4.0,6.7,360.0,Nebaj,14.5,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
10,2025-05-11,INS141301CV,14.2,15.9,20.8,2.0,92.0,8.0,2.3,0.0,Nebaj,0.5,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
11,2025-05-12,INS141301CV,10.4,19.0,27.2,0.3,78.0,4.0,1.3,360.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
12,2025-05-13,INS141301CV,8.8,20.5,31.6,2.2,73.0,2.0,4.7,360.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
13,2025-05-14,INS141301CV,8.2,20.3,31.4,3.2,77.0,5.0,4.3,0.0,Nebaj,9.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
14,2025-05-15,INS141301CV,10.8,22.0,32.2,2.8,79.0,4.0,2.3,0.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
15,2025-05-16,INS141301CV,10.4,21.5,31.4,2.5,82.0,2.0,8.7,315.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
16,2025-05-17,INS141301CV,12.0,21.8,30.0,4.4,75.0,2.0,4.3,0.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
17,2025-05-18,INS141301CV,10.0,21.9,30.4,3.5,71.0,4.0,5.7,0.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
18,2025-05-19,INS141301CV,11.8,22.7,32.8,3.8,80.0,4.0,0.0,0.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
19,2025-05-20,INS141301CV,14.4,23.7,33.0,2.9,73.0,4.0,0.0,0.0,Nebaj,0.8,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
20,2025-05-21,INS141301CV,12.8,21.7,29.6,2.8,71.0,4.0,4.3,0.0,Nebaj,0.2,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
21,2025-05-22,INS141301CV,13.4,21.3,28.8,3.2,71.0,6.0,6.7,360.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
22,2025-05-23,INS141301CV,12.4,20.4,,3.4,74.0,5.0,6.5,170.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
23,2025-05-24,INS141301CV,11.0,19.5,29.8,3.0,84.0,6.0,1.3,9.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
24,2025-05-25,INS141301CV,11.4,20.0,28.2,1.5,81.0,5.0,0.0,0.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
25,2025-05-26,INS141301CV,11.4,21.5,32.8,2.1,71.0,8.0,2.3,0.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
26,2025-05-27,INS141301CV,14.0,22.7,32.6,2.8,76.0,4.0,0.0,0.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
27,2025-05-28,INS141301CV,13.4,21.1,30.4,3.2,77.0,5.0,0.0,0.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
28,2025-05-29,INS141301CV,11.0,19.6,30.4,2.7,83.0,5.0,0.7,0.0,Nebaj,5.1,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
29,2025-05-30,INS141301CV,10.4,21.1,30.4,2.6,84.0,2.0,2.3,0.0,Nebaj,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
30,2025-05-31,INS141301CV,11.2,20.3,,3.1,76.0,2.0,6.5,4.5,Nebaj,,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
