No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-09-18,INS221701CV,QUEZADA,0.0,17.2,24.7,31.4,5.0,1.7,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
2,2024-09-19,INS221701CV,QUEZADA,0.0,19.2,24.0,29.6,7.0,1.0,315.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
3,2024-09-20,INS221701CV,QUEZADA,0.0,19.2,23.0,27.6,8.0,3.3,45.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
4,2024-09-21,INS221701CV,QUEZADA,48.4,19.0,22.1,25.6,8.0,1.7,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
5,2024-09-22,INS221701CV,QUEZADA,36.0,19.0,21.7,26.8,8.0,3.0,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
6,2024-09-23,INS221701CV,QUEZADA,4.2,18.6,21.7,26.2,8.0,3.0,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
7,2024-09-24,INS221701CV,QUEZADA,1.2,19.4,21.5,25.2,8.0,4.0,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
8,2024-09-25,INS221701CV,QUEZADA,0.1,19.2,23.1,29.4,8.0,3.3,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
9,2024-09-26,INS221701CV,QUEZADA,2.2,18.4,22.4,26.0,7.0,4.0,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
10,2024-09-27,INS221701CV,QUEZADA,0.0,19.0,21.4,25.8,8.0,2.3,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
11,2024-09-28,INS221701CV,QUEZADA,5.9,19.0,22.2,26.8,8.0,2.3,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
12,2024-09-29,INS221701CV,QUEZADA,0.0,17.2,21.8,26.2,8.0,2.3,315.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
13,2024-09-30,INS221701CV,QUEZADA,11.0,18.8,21.6,27.6,7.0,0.3,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
14,2024-10-01,INS221701CV,QUEZADA,0.2,18.0,21.3,25.2,8.0,3.3,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
15,2024-10-02,INS221701CV,QUEZADA,19.2,18.4,20.7,25.4,8.0,2.3,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
16,2024-10-03,INS221701CV,QUEZADA,3.3,18.6,20.6,24.2,8.0,2.7,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
17,2024-10-04,INS221701CV,QUEZADA,0.0,17.0,21.5,25.6,7.0,26.0,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
18,2024-10-05,INS221701CV,QUEZADA,0.0,18.8,22.6,28.0,6.0,2.7,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
19,2024-10-06,INS221701CV,QUEZADA,0.0,18.4,23.5,29.8,5.0,3.3,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
20,2024-10-07,INS221701CV,QUEZADA,4.5,17.8,22.7,27.6,6.0,3.7,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
21,2024-10-08,INS221701CV,QUEZADA,11.5,18.6,22.1,27.8,7.0,1.3,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
22,2024-10-09,INS221701CV,QUEZADA,0.0,19.0,22.7,27.2,7.0,1.0,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
23,2024-10-10,INS221701CV,QUEZADA,0.0,17.2,22.9,27.6,6.0,1.7,315.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
24,2024-10-11,INS221701CV,QUEZADA,0.0,18.0,22.3,27.2,7.0,4.3,270.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
25,2024-10-12,INS221701CV,QUEZADA,0.0,16.8,22.9,29.0,6.0,3.7,225.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
26,2024-10-13,INS221701CV,QUEZADA,0.0,19.0,22.2,26.4,8.0,2.7,270.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
27,2024-10-14,INS221701CV,QUEZADA,1.5,18.0,23.1,29.0,7.0,3.7,225.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
28,2024-10-15,INS221701CV,QUEZADA,0.3,17.4,22.7,28.6,7.0,2.3,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
29,2024-10-16,INS221701CV,QUEZADA,10.8,15.6,22.9,29.0,6.0,1.7,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
30,2024-10-17,INS221701CV,QUEZADA,,18.4,19.4,,3.0,0.0,360.0,INSDMCL2217001CONV,14.232852,-90.036177,980.0
