No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-01-01,INS110701CV,CHAMPERICO FEGUA,0.0,,,,,,,,,,INSDMCL1107001CONV,14.29397,-91.91426,5.0
2,2025-01-02,INS110701CV,CHAMPERICO FEGUA,0.0,23.0,28.6,33.4,80.0,5.8,5.0,6.0,270.0,755.5,INSDMCL1107001CONV,14.29397,-91.91426,5.0
3,2025-01-03,INS110701CV,CHAMPERICO FEGUA,7.5,24.0,28.7,33.2,77.0,7.6,5.0,6.0,315.0,756.5,INSDMCL1107001CONV,14.29397,-91.91426,5.0
4,2025-01-04,INS110701CV,CHAMPERICO FEGUA,0.0,21.6,28.1,33.4,80.0,8.0,4.0,6.0,270.0,755.3,INSDMCL1107001CONV,14.29397,-91.91426,5.0
5,2025-01-05,INS110701CV,CHAMPERICO FEGUA,0.0,22.0,27.8,33.0,83.0,8.5,0.0,4.0,270.0,755.9,INSDMCL1107001CONV,14.29397,-91.91426,5.0
6,2025-01-06,INS110701CV,CHAMPERICO FEGUA,0.0,22.6,28.2,33.2,85.0,8.0,1.0,6.0,270.0,755.0,INSDMCL1107001CONV,14.29397,-91.91426,5.0
7,2025-01-07,INS110701CV,CHAMPERICO FEGUA,0.0,24.0,28.9,33.4,84.0,7.8,0.0,6.0,225.0,755.2,INSDMCL1107001CONV,14.29397,-91.91426,5.0
8,2025-01-08,INS110701CV,CHAMPERICO FEGUA,0.0,22.8,28.5,33.4,81.0,7.9,2.0,5.3,270.0,755.1,INSDMCL1107001CONV,14.29397,-91.91426,5.0
9,2025-01-09,INS110701CV,CHAMPERICO FEGUA,0.0,23.4,28.4,33.4,80.0,7.3,1.0,6.0,9.0,754.3,INSDMCL1107001CONV,14.29397,-91.91426,5.0
10,2025-01-10,INS110701CV,CHAMPERICO FEGUA,0.0,24.0,28.8,33.4,83.0,7.9,1.0,4.7,9.0,754.6,INSDMCL1107001CONV,14.29397,-91.91426,5.0
11,2025-01-11,INS110701CV,CHAMPERICO FEGUA,0.0,23.7,29.3,34.0,80.0,7.5,2.0,6.7,9.0,754.3,INSDMCL1107001CONV,14.29397,-91.91426,5.0
12,2025-01-12,INS110701CV,CHAMPERICO FEGUA,0.0,24.6,29.3,33.8,79.0,6.6,4.0,4.7,9.0,755.0,INSDMCL1107001CONV,14.29397,-91.91426,5.0
13,2025-01-13,INS110701CV,CHAMPERICO FEGUA,0.0,23.0,29.1,34.4,83.0,8.0,2.0,4.0,9.0,755.7,INSDMCL1107001CONV,14.29397,-91.91426,5.0
14,2025-01-14,INS110701CV,CHAMPERICO FEGUA,0.0,24.4,29.3,34.0,81.0,8.0,1.0,6.7,225.0,756.4,INSDMCL1107001CONV,14.29397,-91.91426,5.0
15,2025-01-15,INS110701CV,CHAMPERICO FEGUA,0.0,23.0,29.3,35.0,79.0,8.1,1.0,4.0,270.0,756.6,INSDMCL1107001CONV,14.29397,-91.91426,5.0
16,2025-01-16,INS110701CV,CHAMPERICO FEGUA,0.0,22.6,29.4,34.8,78.0,8.2,3.0,4.7,315.0,757.5,INSDMCL1107001CONV,14.29397,-91.91426,5.0
17,2025-01-17,INS110701CV,CHAMPERICO FEGUA,0.0,22.0,28.9,34.8,78.0,8.2,0.0,6.0,270.0,757.1,INSDMCL1107001CONV,14.29397,-91.91426,5.0
18,2025-01-18,INS110701CV,CHAMPERICO FEGUA,0.0,21.4,28.9,34.6,79.0,8.0,0.0,6.7,360.0,756.4,INSDMCL1107001CONV,14.29397,-91.91426,5.0
19,2025-01-19,INS110701CV,CHAMPERICO FEGUA,0.0,22.6,29.3,35.0,78.0,8.2,1.0,6.0,270.0,755.8,INSDMCL1107001CONV,14.29397,-91.91426,5.0
20,2025-01-20,INS110701CV,CHAMPERICO FEGUA,0.0,22.8,29.3,34.2,76.0,7.7,0.0,6.0,9.0,755.0,INSDMCL1107001CONV,14.29397,-91.91426,5.0
21,2025-01-21,INS110701CV,CHAMPERICO FEGUA,0.0,22.8,28.9,35.0,78.0,8.3,3.0,5.3,270.0,755.9,INSDMCL1107001CONV,14.29397,-91.91426,5.0
22,2025-01-22,INS110701CV,CHAMPERICO FEGUA,0.0,23.2,29.6,35.0,77.0,8.4,0.0,4.0,9.0,755.4,INSDMCL1107001CONV,14.29397,-91.91426,5.0
23,2025-01-23,INS110701CV,CHAMPERICO FEGUA,0.0,22.8,28.8,34.8,78.0,7.0,2.0,4.7,9.0,755.7,INSDMCL1107001CONV,14.29397,-91.91426,5.0
24,2025-01-24,INS110701CV,CHAMPERICO FEGUA,0.0,21.6,28.5,35.0,77.0,8.3,0.0,4.0,270.0,755.7,INSDMCL1107001CONV,14.29397,-91.91426,5.0
25,2025-01-25,INS110701CV,CHAMPERICO FEGUA,0.0,22.0,29.1,34.8,76.0,8.3,0.0,6.0,9.0,755.1,INSDMCL1107001CONV,14.29397,-91.91426,5.0
26,2025-01-26,INS110701CV,CHAMPERICO FEGUA,0.0,22.4,29.3,35.2,77.0,8.4,0.0,6.7,270.0,755.3,INSDMCL1107001CONV,14.29397,-91.91426,5.0
27,2025-01-27,INS110701CV,CHAMPERICO FEGUA,0.0,23.2,29.3,35.0,77.0,8.4,1.0,6.7,270.0,755.0,INSDMCL1107001CONV,14.29397,-91.91426,5.0
28,2025-01-28,INS110701CV,CHAMPERICO FEGUA,,23.0,28.8,,78.0,,0.0,3.0,105.0,755.0,INSDMCL1107001CONV,14.29397,-91.91426,5.0
