No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-06-12,INS060101CV,LOS ESCLAVOS,8.8,21.2,24.9,29.0,92.0,7.0,8.7,360.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
2,2024-06-13,INS060101CV,LOS ESCLAVOS,2.3,21.0,24.9,29.2,92.0,6.0,7.3,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
3,2024-06-14,INS060101CV,LOS ESCLAVOS,0.0,21.0,25.3,28.8,89.0,8.0,8.0,180.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
4,2024-06-15,INS060101CV,LOS ESCLAVOS,33.0,22.4,23.9,27.0,95.0,3.0,3.3,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
5,2024-06-16,INS060101CV,LOS ESCLAVOS,95.4,21.4,22.8,23.4,96.0,0.0,2.0,360.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
6,2024-06-17,INS060101CV,LOS ESCLAVOS,16.3,20.4,22.1,23.4,98.0,0.0,2.0,360.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
7,2024-06-18,INS060101CV,LOS ESCLAVOS,3.2,20.2,23.4,25.0,94.0,0.0,2.0,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
8,2024-06-19,INS060101CV,LOS ESCLAVOS,39.6,20.2,22.9,24.6,97.0,4.0,4.0,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
9,2024-06-20,INS060101CV,LOS ESCLAVOS,115.6,20.4,22.6,25.4,96.0,2.0,2.7,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
10,2024-06-21,INS060101CV,LOS ESCLAVOS,54.9,19.8,21.7,23.2,96.0,0.0,2.7,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
11,2024-06-22,INS060101CV,LOS ESCLAVOS,0.8,20.2,24.4,28.6,94.0,7.0,3.3,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
12,2024-06-23,INS060101CV,LOS ESCLAVOS,23.0,20.8,24.9,28.8,92.0,4.0,10.7,9.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
13,2024-06-24,INS060101CV,LOS ESCLAVOS,0.7,20.0,23.7,27.2,91.0,7.0,10.7,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
14,2024-06-25,INS060101CV,LOS ESCLAVOS,64.2,20.0,24.9,30.4,90.0,7.0,8.7,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
15,2024-06-26,INS060101CV,LOS ESCLAVOS,3.8,19.4,24.6,29.4,88.0,7.0,4.0,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
16,2024-06-27,INS060101CV,LOS ESCLAVOS,39.2,20.8,25.0,30.0,91.0,7.0,4.0,9.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
17,2024-06-28,INS060101CV,LOS ESCLAVOS,16.4,20.8,23.7,27.0,95.0,6.0,8.0,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
18,2024-06-29,INS060101CV,LOS ESCLAVOS,22.7,20.4,22.4,24.4,98.0,5.0,2.0,9.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
19,2024-06-30,INS060101CV,LOS ESCLAVOS,0.0,20.8,24.8,28.8,93.0,5.0,5.3,9.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
20,2024-07-01,INS060101CV,LOS ESCLAVOS,23.6,21.2,23.6,26.8,95.0,6.0,4.0,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
21,2024-07-02,INS060101CV,LOS ESCLAVOS,36.1,19.8,25.2,30.0,90.0,7.0,7.3,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
22,2024-07-03,INS060101CV,LOS ESCLAVOS,0.0,20.0,24.3,29.2,92.0,5.0,8.7,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
23,2024-07-04,INS060101CV,LOS ESCLAVOS,1.7,18.4,24.5,29.8,89.0,4.0,8.7,180.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
24,2024-07-05,INS060101CV,LOS ESCLAVOS,5.2,19.6,24.5,30.0,91.0,7.0,6.0,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
25,2024-07-06,INS060101CV,LOS ESCLAVOS,7.6,20.8,24.6,28.0,91.0,7.0,4.0,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
26,2024-07-07,INS060101CV,LOS ESCLAVOS,70.2,21.0,23.7,28.6,96.0,6.0,5.3,90.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
27,2024-07-08,INS060101CV,LOS ESCLAVOS,0.3,20.6,23.9,27.6,95.0,8.0,3.3,9.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
28,2024-07-09,INS060101CV,LOS ESCLAVOS,5.6,21.0,23.3,27.8,96.0,5.0,4.0,360.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
29,2024-07-10,INS060101CV,LOS ESCLAVOS,0.2,19.2,24.4,29.4,90.0,8.0,2.7,9.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
30,2024-07-11,INS060101CV,LOS ESCLAVOS,,19.8,20.2,,96.0,8.0,2.0,360.0,INSDMCL0601001CONV,14.2528,-90.2783,737.0
