No.,fecha,ID,Nombre,lluvia,tseca,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-04-13,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.1,9.9,270.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
2,2025-04-14,INS050901CV,SAN JOSE AEROPUERTO,0.0,28.4,7.4,225.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
3,2025-04-15,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.6,11.1,270.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
4,2025-04-16,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.9,6.2,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
5,2025-04-17,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.9,9.9,225.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
6,2025-04-18,INS050901CV,SAN JOSE AEROPUERTO,0.0,30.0,9.9,270.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
7,2025-04-19,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.3,6.2,9.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
8,2025-04-20,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.5,8.6,270.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
9,2025-04-21,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.1,12.3,270.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
10,2025-04-22,INS050901CV,SAN JOSE AEROPUERTO,2.4,28.5,6.2,225.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
11,2025-04-23,INS050901CV,SAN JOSE AEROPUERTO,0.2,28.7,6.2,225.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
12,2025-04-24,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.0,8.6,225.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
13,2025-04-25,INS050901CV,SAN JOSE AEROPUERTO,0.0,28.5,9.9,270.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
14,2025-04-26,INS050901CV,SAN JOSE AEROPUERTO,0.0,28.8,4.9,180.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
15,2025-04-27,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.1,7.4,180.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
16,2025-04-28,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.0,4.9,180.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
17,2025-04-29,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.5,4.9,225.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
18,2025-04-30,INS050901CV,SAN JOSE AEROPUERTO,4.4,29.7,7.4,9.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
19,2025-05-01,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.7,4.9,9.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
20,2025-05-02,INS050901CV,SAN JOSE AEROPUERTO,0.0,27.4,4.9,9.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
21,2025-05-03,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.3,7.4,270.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
22,2025-05-04,INS050901CV,SAN JOSE AEROPUERTO,0.2,29.0,8.6,270.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
23,2025-05-05,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.4,6.2,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
24,2025-05-06,INS050901CV,SAN JOSE AEROPUERTO,0.0,30.0,8.6,225.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
25,2025-05-07,INS050901CV,SAN JOSE AEROPUERTO,0.0,30.7,6.2,225.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
26,2025-05-08,INS050901CV,SAN JOSE AEROPUERTO,0.0,29.8,8.6,180.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
27,2025-05-09,INS050901CV,SAN JOSE AEROPUERTO,0.0,28.8,6.2,9.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
28,2025-05-10,INS050901CV,SAN JOSE AEROPUERTO,0.0,30.0,8.6,180.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
29,2025-05-11,INS050901CV,SAN JOSE AEROPUERTO,0.0,30.2,7.4,180.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
30,2025-05-12,INS050901CV,SAN JOSE AEROPUERTO,,29.2,9.2,125.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
