No.,fecha,ID,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-06-12,INS160101CV,15.6,21.5,29.2,5.5,76.0,7.1,7.0,7.3,45.0,653.2,Cobán,0.0,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
2,2025-06-13,INS160101CV,14.6,22.2,29.2,4.8,79.0,7.6,5.0,5.0,0.0,653.4,Cobán,4.7,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
3,2025-06-14,INS160101CV,14.0,21.6,28.0,4.4,77.0,6.5,5.0,3.7,0.0,654.3,Cobán,1.4,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
4,2025-06-15,INS160101CV,15.6,21.1,27.8,3.9,83.0,3.6,7.0,6.3,0.0,653.9,Cobán,17.3,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
5,2025-06-16,INS160101CV,16.4,20.8,25.4,6.1,85.0,1.5,8.0,3.7,0.0,652.9,Cobán,27.5,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
6,2025-06-17,INS160101CV,16.2,21.3,27.6,,86.0,2.3,8.0,4.9,9.0,652.4,Cobán,35.0,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
7,2025-06-18,INS160101CV,16.2,21.7,28.6,4.5,86.0,3.1,8.0,4.9,9.0,652.5,Cobán,57.8,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
8,2025-06-19,INS160101CV,16.0,21.5,27.2,,81.0,4.9,7.0,2.5,0.0,653.7,Cobán,22.2,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
9,2025-06-20,INS160101CV,16.6,20.2,25.2,4.5,87.0,1.0,8.0,2.5,0.0,654.0,Cobán,49.7,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
10,2025-06-21,INS160101CV,16.2,20.6,25.8,2.8,84.0,2.9,8.0,6.2,9.0,653.8,Cobán,1.8,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
11,2025-06-22,INS160101CV,15.0,22.3,29.0,2.2,76.0,8.8,8.0,6.2,45.0,654.2,Cobán,0.5,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
12,2025-06-23,INS160101CV,16.0,20.0,24.2,2.7,79.0,0.0,8.0,2.5,0.0,654.6,Cobán,3.3,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
13,2025-06-24,INS160101CV,16.2,21.8,27.2,2.1,73.0,7.8,7.0,8.7,90.0,654.1,Cobán,0.4,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
14,2025-06-25,INS160101CV,14.0,20.7,26.0,5.6,82.0,6.7,6.0,2.3,0.0,653.5,Cobán,22.3,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
15,2025-06-26,INS160101CV,16.4,20.5,25.0,3.6,92.0,1.0,8.0,6.0,9.0,652.5,Cobán,23.1,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
16,2025-06-27,INS160101CV,15.4,19.7,27.2,0.9,91.0,4.5,7.0,0.0,0.0,652.8,Cobán,10.7,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
17,2025-06-28,INS160101CV,16.6,21.2,27.4,1.2,84.0,1.5,8.0,6.0,9.0,653.6,Cobán,6.1,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
18,2025-06-29,INS160101CV,16.8,22.1,28.6,2.0,79.0,6.5,7.0,7.3,45.0,653.4,Cobán,0.0,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
19,2025-06-30,INS160101CV,15.8,21.9,26.8,4.3,79.0,3.0,8.0,0.0,0.0,653.8,Cobán,0.0,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
20,2025-07-01,INS160101CV,17.0,22.3,28.0,3.0,82.0,5.0,7.0,7.4,9.0,654.2,Cobán,4.0,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
21,2025-07-02,INS160101CV,14.4,21.5,27.8,3.4,76.0,8.6,7.0,2.5,0.0,654.3,Cobán,0.0,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
22,2025-07-03,INS160101CV,15.4,22.5,27.6,4.6,76.0,7.2,8.0,7.4,42.5,654.6,Cobán,0.0,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
23,2025-07-04,INS160101CV,13.4,21.9,28.6,3.8,76.0,7.5,6.0,8.6,45.0,655.1,Cobán,0.0,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
24,2025-07-05,INS160101CV,13.0,21.3,28.6,4.8,78.0,7.5,6.0,2.5,0.0,654.6,Cobán,0.0,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
25,2025-07-06,INS160101CV,15.0,22.4,29.2,4.6,78.0,7.4,7.0,4.9,90.0,654.1,Cobán,0.0,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
26,2025-07-07,INS160101CV,15.4,22.1,29.0,5.0,78.0,5.6,7.0,2.5,0.0,654.1,Cobán,27.4,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
27,2025-07-08,INS160101CV,14.2,21.4,26.0,6.4,79.0,5.5,7.0,9.7,45.0,655.4,Cobán,1.2,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
28,2025-07-09,INS160101CV,15.0,21.6,27.2,2.9,64.0,6.5,6.0,4.7,45.0,655.3,Cobán,1.2,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
29,2025-07-10,INS160101CV,15.4,20.9,27.6,4.3,84.0,8.4,7.0,2.3,0.0,655.2,Cobán,10.1,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
30,2025-07-11,INS160101CV,15.8,18.2,,4.2,96.0,,7.0,0.0,0.0,655.3,Cobán,,INSDMCL1601001CONV,15.46992,-90.405518,1323.0
