No.,fecha,ID,tmin,tseca,tmax,hum_rel,nub,vel_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-01-29,INS180201CV,,,,,,,Las Vegas PHC,0.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
2,2025-01-30,INS180201CV,21.0,26.5,31.0,87.0,7.0,3.7,Las Vegas PHC,0.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
3,2025-01-31,INS180201CV,21.0,27.1,31.6,87.0,6.0,3.7,Las Vegas PHC,16.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
4,2025-02-01,INS180201CV,21.0,26.7,31.4,88.0,7.0,5.3,Las Vegas PHC,20.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
5,2025-02-02,INS180201CV,20.0,25.3,29.0,87.0,8.0,3.7,Las Vegas PHC,4.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
6,2025-02-03,INS180201CV,21.0,26.3,30.0,86.0,7.0,3.7,Las Vegas PHC,15.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
7,2025-02-04,INS180201CV,20.5,25.9,30.4,89.0,7.0,3.7,Las Vegas PHC,40.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
8,2025-02-05,INS180201CV,20.0,25.3,29.4,87.0,7.0,3.7,Las Vegas PHC,7.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
9,2025-02-06,INS180201CV,20.0,26.1,30.4,87.0,7.0,3.7,Las Vegas PHC,0.5,INSDMCL1802001CONV,15.585416,-88.944686,10.0
10,2025-02-07,INS180201CV,20.0,25.2,29.8,87.0,7.0,3.7,Las Vegas PHC,20.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
11,2025-02-08,INS180201CV,18.0,24.4,28.6,89.0,8.0,3.7,Las Vegas PHC,12.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
12,2025-02-09,INS180201CV,20.0,25.3,29.8,87.0,7.0,3.7,Las Vegas PHC,5.0,INSDMCL1802001CONV,15.585416,-88.944686,10.0
13,2025-02-10,INS180201CV,20.0,24.6,,82.0,8.0,2.0,Las Vegas PHC,,INSDMCL1802001CONV,15.585416,-88.944686,10.0
