No.,fecha,ID,Nombre,lluvia,eva_tan,bri_solar,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-12-31,INS140301CV,CHINIQUE,0.0,,,,,,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
2,2025-01-01,INS140301CV,CHINIQUE,0.0,0.0,5.5,2.0,1.3,9.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
3,2025-01-02,INS140301CV,CHINIQUE,2.9,0.7,1.0,8.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
4,2025-01-03,INS140301CV,CHINIQUE,0.0,0.1,0.1,8.0,0.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
5,2025-01-04,INS140301CV,CHINIQUE,0.0,1.6,1.1,8.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
6,2025-01-05,INS140301CV,CHINIQUE,0.0,2.7,8.0,3.0,0.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
7,2025-01-06,INS140301CV,CHINIQUE,0.0,2.9,8.9,0.0,3.3,360.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
8,2025-01-07,INS140301CV,CHINIQUE,0.0,4.3,4.9,7.0,1.3,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
9,2025-01-08,INS140301CV,CHINIQUE,0.2,5.0,1.1,8.0,0.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
10,2025-01-09,INS140301CV,CHINIQUE,0.0,1.0,4.6,5.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
11,2025-01-10,INS140301CV,CHINIQUE,0.0,1.9,9.0,1.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
12,2025-01-11,INS140301CV,CHINIQUE,0.0,3.2,8.8,1.0,1.3,9.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
13,2025-01-12,INS140301CV,CHINIQUE,0.0,5.5,7.0,2.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
14,2025-01-13,INS140301CV,CHINIQUE,2.2,4.0,8.6,1.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
15,2025-01-14,INS140301CV,CHINIQUE,0.0,2.8,3.8,8.0,1.3,315.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
16,2025-01-15,INS140301CV,CHINIQUE,0.0,0.0,8.4,2.0,2.0,9.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
17,2025-01-16,INS140301CV,CHINIQUE,0.0,2.9,9.6,1.0,1.3,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
18,2025-01-17,INS140301CV,CHINIQUE,0.0,4.9,9.0,0.0,1.3,315.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
19,2025-01-18,INS140301CV,CHINIQUE,0.0,3.8,9.3,0.0,0.7,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
20,2025-01-19,INS140301CV,CHINIQUE,0.0,5.8,9.0,1.0,2.0,0.0,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
21,2025-01-20,INS140301CV,CHINIQUE,,3.1,,4.0,2.0,22.5,INSDMCL1403001CONV,15.04675,-91.019608,1880.0
