No.,fecha,ID,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-12-28,INS161201CV,21.2,27.6,32.8,89.0,5.0,1.3,0.0,Santa María Cahabón,0.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
2,2024-12-29,INS161201CV,22.6,28.2,33.0,90.0,5.0,2.0,9.0,Santa María Cahabón,21.2,INSDMCL1612001CONV,15.608429,-89.81227,380.0
3,2024-12-30,INS161201CV,20.8,25.9,30.8,86.0,7.0,1.3,0.0,Santa María Cahabón,3.1,INSDMCL1612001CONV,15.608429,-89.81227,380.0
4,2024-12-31,INS161201CV,21.6,28.3,34.2,93.0,5.0,2.0,90.0,Santa María Cahabón,0.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
5,2025-01-01,INS161201CV,22.0,26.7,31.6,87.0,7.0,2.7,9.0,Santa María Cahabón,2.4,INSDMCL1612001CONV,15.608429,-89.81227,380.0
6,2025-01-02,INS161201CV,22.2,25.9,30.6,88.0,8.0,5.7,315.0,Santa María Cahabón,6.5,INSDMCL1612001CONV,15.608429,-89.81227,380.0
7,2025-01-03,INS161201CV,19.8,22.5,28.8,91.0,8.0,6.0,90.0,Santa María Cahabón,14.1,INSDMCL1612001CONV,15.608429,-89.81227,380.0
8,2025-01-04,INS161201CV,16.4,22.1,26.2,87.0,8.0,4.0,9.0,Santa María Cahabón,9.7,INSDMCL1612001CONV,15.608429,-89.81227,380.0
9,2025-01-05,INS161201CV,16.0,24.9,30.8,86.0,7.0,1.3,360.0,Santa María Cahabón,0.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
10,2025-01-06,INS161201CV,18.2,24.7,29.8,85.0,5.0,1.3,0.0,Santa María Cahabón,0.7,INSDMCL1612001CONV,15.608429,-89.81227,380.0
11,2025-01-07,INS161201CV,21.0,25.9,29.6,89.0,8.0,2.7,9.0,Santa María Cahabón,3.7,INSDMCL1612001CONV,15.608429,-89.81227,380.0
12,2025-01-08,INS161201CV,20.0,24.9,28.8,87.0,8.0,2.7,9.0,Santa María Cahabón,13.1,INSDMCL1612001CONV,15.608429,-89.81227,380.0
13,2025-01-09,INS161201CV,19.2,25.5,30.8,88.0,8.0,1.3,0.0,Santa María Cahabón,6.7,INSDMCL1612001CONV,15.608429,-89.81227,380.0
14,2025-01-10,INS161201CV,20.2,26.7,32.4,90.0,5.0,1.3,9.0,Santa María Cahabón,0.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
15,2025-01-11,INS161201CV,20.0,27.1,33.2,87.0,5.0,2.0,180.0,Santa María Cahabón,0.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
16,2025-01-12,INS161201CV,20.4,26.1,31.4,85.0,6.0,3.7,9.0,Santa María Cahabón,0.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
17,2025-01-13,INS161201CV,19.4,27.4,34.2,88.0,5.0,0.7,0.0,Santa María Cahabón,5.1,INSDMCL1612001CONV,15.608429,-89.81227,380.0
18,2025-01-14,INS161201CV,20.8,27.2,32.8,88.0,7.0,3.3,9.0,Santa María Cahabón,4.3,INSDMCL1612001CONV,15.608429,-89.81227,380.0
19,2025-01-15,INS161201CV,20.0,26.3,31.6,88.0,7.0,2.7,9.0,Santa María Cahabón,4.9,INSDMCL1612001CONV,15.608429,-89.81227,380.0
20,2025-01-16,INS161201CV,19.4,25.9,31.6,87.0,8.0,3.7,9.0,Santa María Cahabón,0.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
21,2025-01-17,INS161201CV,21.4,27.9,34.0,88.0,5.0,0.7,0.0,Santa María Cahabón,0.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
22,2025-01-18,INS161201CV,18.8,26.9,33.6,87.0,6.0,1.3,9.0,Santa María Cahabón,0.0,INSDMCL1612001CONV,15.608429,-89.81227,380.0
23,2025-01-19,INS161201CV,18.0,27.6,34.4,84.0,5.0,3.7,9.0,Santa María Cahabón,3.9,INSDMCL1612001CONV,15.608429,-89.81227,380.0
24,2025-01-20,INS161201CV,18.4,26.7,33.0,88.0,7.0,1.3,0.0,Santa María Cahabón,5.1,INSDMCL1612001CONV,15.608429,-89.81227,380.0
25,2025-01-21,INS161201CV,20.2,27.7,34.2,91.0,6.0,4.3,90.0,Santa María Cahabón,17.3,INSDMCL1612001CONV,15.608429,-89.81227,380.0
26,2025-01-22,INS161201CV,18.8,24.9,28.8,86.0,8.0,3.3,360.0,Santa María Cahabón,2.3,INSDMCL1612001CONV,15.608429,-89.81227,380.0
27,2025-01-23,INS161201CV,16.4,22.6,26.4,86.0,8.0,4.0,90.0,Santa María Cahabón,2.9,INSDMCL1612001CONV,15.608429,-89.81227,380.0
28,2025-01-24,INS161201CV,17.2,23.7,28.0,87.0,8.0,2.3,0.0,Santa María Cahabón,4.1,INSDMCL1612001CONV,15.608429,-89.81227,380.0
29,2025-01-25,INS161201CV,16.0,22.5,27.4,84.0,8.0,1.3,9.0,Santa María Cahabón,2.7,INSDMCL1612001CONV,15.608429,-89.81227,380.0
30,2025-01-26,INS161201CV,16.2,18.8,,84.0,8.0,4.0,180.0,Santa María Cahabón,,INSDMCL1612001CONV,15.608429,-89.81227,380.0
