No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-09-25,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,14.0,18.3,23.6,8.0,1.7,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
2,2024-09-26,INS040301CV,SAN MARTIN JILOTEPEQUE,14.9,15.0,21.1,27.0,7.0,2.3,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
3,2024-09-27,INS040301CV,SAN MARTIN JILOTEPEQUE,8.4,14.0,18.9,24.6,8.0,3.0,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
4,2024-09-28,INS040301CV,SAN MARTIN JILOTEPEQUE,11.5,13.0,19.7,25.2,8.0,2.0,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
5,2024-09-29,INS040301CV,SAN MARTIN JILOTEPEQUE,12.5,15.0,20.3,26.2,7.0,2.0,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
6,2024-09-30,INS040301CV,SAN MARTIN JILOTEPEQUE,1.1,14.0,19.5,26.8,8.0,1.7,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
7,2024-10-01,INS040301CV,SAN MARTIN JILOTEPEQUE,1.6,15.0,20.1,24.8,8.0,2.3,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
8,2024-10-02,INS040301CV,SAN MARTIN JILOTEPEQUE,8.6,14.0,19.4,26.2,8.0,2.3,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
9,2024-10-03,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,15.0,19.2,25.4,8.0,3.0,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
10,2024-10-04,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,13.0,20.5,27.4,8.0,2.3,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
11,2024-10-05,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,16.0,19.9,24.6,8.0,2.3,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
12,2024-10-06,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,15.0,21.0,28.0,7.0,1.3,180.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
13,2024-10-07,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,15.0,20.9,28.8,7.0,2.3,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
14,2024-10-08,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,14.0,19.6,26.2,8.0,2.0,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
15,2024-10-09,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,15.0,20.1,25.2,7.0,2.0,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
16,2024-10-10,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,14.0,19.8,26.0,8.0,2.3,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
17,2024-10-11,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,13.0,19.1,25.6,8.0,3.0,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
18,2024-10-12,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,13.0,18.5,24.6,8.0,3.0,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
19,2024-10-13,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,15.0,18.8,23.8,7.0,2.3,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
20,2024-10-14,INS040301CV,SAN MARTIN JILOTEPEQUE,0.7,12.0,19.7,27.2,6.0,2.7,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
21,2024-10-15,INS040301CV,SAN MARTIN JILOTEPEQUE,1.4,13.0,18.7,24.8,5.0,2.3,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
22,2024-10-16,INS040301CV,SAN MARTIN JILOTEPEQUE,2.3,14.0,20.2,26.0,8.0,1.7,9.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
23,2024-10-17,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,14.0,19.9,24.2,8.0,3.0,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
24,2024-10-18,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,15.0,20.0,25.6,8.0,3.7,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
25,2024-10-19,INS040301CV,SAN MARTIN JILOTEPEQUE,61.1,13.0,20.1,26.6,8.0,2.0,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
26,2024-10-20,INS040301CV,SAN MARTIN JILOTEPEQUE,15.3,15.0,18.2,21.6,8.0,2.3,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
27,2024-10-21,INS040301CV,SAN MARTIN JILOTEPEQUE,7.1,15.0,20.1,24.4,8.0,1.7,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
28,2024-10-22,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,14.0,19.5,25.0,7.0,2.3,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
29,2024-10-23,INS040301CV,SAN MARTIN JILOTEPEQUE,0.0,15.0,20.1,24.6,8.0,3.3,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
30,2024-10-24,INS040301CV,SAN MARTIN JILOTEPEQUE,,15.0,17.0,,8.0,3.0,270.0,INSDMCL0403001CONV,14.777474,-90.792558,1800.0
