No.,fecha,ID,tseca,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-04-30,INS050901CV,29.7,7.4,9.0,San José Aeropuerto,4.4,INSDMCL0509001CONV,13.936665,-90.835264,6.0
2,2025-05-01,INS050901CV,29.7,4.9,9.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
3,2025-05-02,INS050901CV,27.4,4.9,9.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
4,2025-05-03,INS050901CV,29.3,7.4,270.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
5,2025-05-04,INS050901CV,29.0,8.6,270.0,San José Aeropuerto,0.2,INSDMCL0509001CONV,13.936665,-90.835264,6.0
6,2025-05-05,INS050901CV,29.4,6.2,0.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
7,2025-05-06,INS050901CV,30.0,8.6,225.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
8,2025-05-07,INS050901CV,30.7,6.2,225.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
9,2025-05-08,INS050901CV,29.8,8.6,180.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
10,2025-05-09,INS050901CV,28.8,6.2,9.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
11,2025-05-10,INS050901CV,30.0,8.6,180.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
12,2025-05-11,INS050901CV,30.2,7.4,180.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
13,2025-05-12,INS050901CV,30.0,8.6,270.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
14,2025-05-13,INS050901CV,30.5,9.9,225.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
15,2025-05-14,INS050901CV,28.8,4.9,0.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
16,2025-05-15,INS050901CV,29.6,8.6,270.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
17,2025-05-16,INS050901CV,29.5,7.4,315.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
18,2025-05-17,INS050901CV,29.1,16.0,225.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
19,2025-05-18,INS050901CV,30.5,8.6,180.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
20,2025-05-19,INS050901CV,30.0,9.9,180.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
21,2025-05-20,INS050901CV,30.4,8.6,180.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
22,2025-05-21,INS050901CV,30.7,4.9,180.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
23,2025-05-22,INS050901CV,30.6,9.9,270.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
24,2025-05-23,INS050901CV,30.6,3.7,0.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
25,2025-05-24,INS050901CV,29.8,12.3,270.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
26,2025-05-25,INS050901CV,30.9,7.4,9.0,San José Aeropuerto,4.1,INSDMCL0509001CONV,13.936665,-90.835264,6.0
27,2025-05-26,INS050901CV,29.9,9.9,225.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
28,2025-05-27,INS050901CV,29.5,8.6,225.0,San José Aeropuerto,0.0,INSDMCL0509001CONV,13.936665,-90.835264,6.0
29,2025-05-28,INS050901CV,30.8,4.9,270.0,San José Aeropuerto,3.8,INSDMCL0509001CONV,13.936665,-90.835264,6.0
30,2025-05-29,INS050901CV,29.0,9.2,240.0,San José Aeropuerto,,INSDMCL0509001CONV,13.936665,-90.835264,6.0
