No.,fecha,ID,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,pre_atmos,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-01-15,INS010102CV,13.0,18.7,23.8,61.0,7.0,27.1,360.0,641.7,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
2,2025-01-16,INS010102CV,14.0,19.3,25.0,63.0,3.0,22.2,360.0,642.0,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
3,2025-01-17,INS010102CV,13.4,19.4,25.2,59.0,1.0,13.6,45.0,641.0,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
4,2025-01-18,INS010102CV,11.0,19.7,27.4,65.0,0.0,12.3,180.0,640.1,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
5,2025-01-19,INS010102CV,13.6,21.2,29.0,67.0,3.0,9.9,9.0,639.9,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
6,2025-01-20,INS010102CV,15.6,20.1,25.0,61.0,8.0,29.6,360.0,640.2,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
7,2025-01-21,INS010102CV,14.6,20.9,26.8,63.0,6.0,23.4,45.0,640.3,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
8,2025-01-22,INS010102CV,15.6,18.6,23.0,58.0,2.0,37.0,360.0,641.1,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
9,2025-01-23,INS010102CV,12.8,17.9,23.4,63.0,4.0,30.8,360.0,640.8,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
10,2025-01-24,INS010102CV,13.0,17.5,23.0,66.0,3.0,39.5,45.0,640.9,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
11,2025-01-25,INS010102CV,14.4,18.0,22.0,63.0,4.0,40.7,360.0,641.2,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
12,2025-01-26,INS010102CV,13.6,18.9,24.8,68.0,2.0,29.6,360.0,641.1,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
13,2025-01-27,INS010102CV,14.8,20.5,26.0,66.0,3.0,28.4,360.0,639.8,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
14,2025-01-28,INS010102CV,14.6,20.3,25.8,66.0,2.0,25.9,45.0,639.2,La Aurora,0.1,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
15,2025-01-29,INS010102CV,16.2,21.1,26.8,63.0,2.0,21.0,45.0,639.2,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
16,2025-01-30,INS010102CV,16.4,21.5,28.6,67.0,4.0,10.5,9.0,639.0,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
17,2025-01-31,INS010102CV,17.0,22.4,29.4,60.0,6.0,21.0,45.0,639.5,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
18,2025-02-01,INS010102CV,15.8,19.8,24.8,73.0,5.0,33.3,360.0,639.5,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
19,2025-02-02,INS010102CV,14.6,20.1,24.8,58.0,7.0,27.1,360.0,639.4,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
20,2025-02-03,INS010102CV,15.6,20.6,25.6,64.0,5.0,27.1,360.0,639.5,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
21,2025-02-04,INS010102CV,15.0,20.1,25.4,66.0,3.0,27.1,45.0,639.4,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
22,2025-02-05,INS010102CV,16.0,20.4,25.6,61.0,4.0,24.7,360.0,639.1,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
23,2025-02-06,INS010102CV,14.0,19.4,24.8,65.0,4.0,17.3,45.0,639.5,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
24,2025-02-07,INS010102CV,14.4,20.1,26.2,66.0,5.0,28.4,360.0,639.6,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
25,2025-02-08,INS010102CV,15.2,20.5,26.0,65.0,4.0,24.7,360.0,639.7,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
26,2025-02-09,INS010102CV,15.4,19.5,24.6,74.0,7.0,22.2,45.0,640.5,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
27,2025-02-10,INS010102CV,13.4,20.1,26.4,63.0,7.0,23.4,360.0,640.1,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
28,2025-02-11,INS010102CV,14.4,21.5,28.6,59.0,2.0,16.0,90.0,638.3,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
29,2025-02-12,INS010102CV,16.8,20.9,26.2,73.0,4.0,19.7,180.0,637.7,La Aurora,0.0,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
30,2025-02-13,INS010102CV,15.2,15.2,,94.0,0.0,0.0,0.0,639.7,La Aurora,,INSDMCL0101002CONV,14.58619,-90.52773,1491.0
