No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_tan,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2023-11-02,INS050101CV,SABANA GRANDE,0.8,19.6,24.5,29.4,3.6,87.0,6.0,4.3,360.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
2,2023-11-03,INS050101CV,SABANA GRANDE,0.0,19.8,25.6,30.8,2.8,75.0,7.0,15.7,9.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
3,2023-11-04,INS050101CV,SABANA GRANDE,2.2,20.2,24.9,26.4,3.6,75.0,8.0,6.0,45.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
4,2023-11-05,INS050101CV,SABANA GRANDE,1.5,19.8,24.3,29.4,2.5,86.0,8.0,3.0,45.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
5,2023-11-06,INS050101CV,SABANA GRANDE,0.0,19.6,25.2,30.6,1.0,92.0,7.0,3.0,315.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
6,2023-11-07,INS050101CV,SABANA GRANDE,0.0,19.4,25.5,31.2,2.0,91.0,6.0,4.3,90.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
7,2023-11-08,INS050101CV,SABANA GRANDE,0.1,19.8,24.9,31.8,3.7,93.0,6.0,0.7,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
8,2023-11-09,INS050101CV,SABANA GRANDE,0.8,19.4,24.5,30.4,0.3,93.0,6.0,2.0,9.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
9,2023-11-10,INS050101CV,SABANA GRANDE,0.0,19.2,26.2,32.2,3.6,75.0,1.0,7.3,45.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
10,2023-11-11,INS050101CV,SABANA GRANDE,0.0,19.8,27.0,32.6,4.1,80.0,2.0,2.0,9.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
11,2023-11-12,INS050101CV,SABANA GRANDE,0.0,19.6,26.8,33.2,3.9,83.0,2.0,2.7,315.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
12,2023-11-13,INS050101CV,SABANA GRANDE,15.3,20.4,26.2,32.6,4.9,80.0,5.0,5.7,9.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
13,2023-11-14,INS050101CV,SABANA GRANDE,4.9,19.2,24.7,32.2,3.2,87.0,7.0,1.3,315.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
14,2023-11-15,INS050101CV,SABANA GRANDE,0.0,19.0,25.2,31.8,1.2,88.0,5.0,2.0,315.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
15,2023-11-16,INS050101CV,SABANA GRANDE,0.0,18.6,25.5,31.6,4.5,87.0,5.0,5.0,9.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
16,2023-11-17,INS050101CV,SABANA GRANDE,17.1,18.4,24.8,31.8,3.4,88.0,5.0,2.3,0.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
17,2023-11-18,INS050101CV,SABANA GRANDE,0.0,18.0,23.8,29.8,4.8,91.0,7.0,2.7,360.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
18,2023-11-19,INS050101CV,SABANA GRANDE,0.0,17.8,23.4,31.8,2.8,83.0,5.0,3.0,315.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
19,2023-11-20,INS050101CV,SABANA GRANDE,0.0,17.2,23.6,31.0,2.9,82.0,5.0,3.3,360.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
20,2023-11-21,INS050101CV,SABANA GRANDE,0.0,17.4,22.9,30.8,5.2,89.0,5.0,2.7,315.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
21,2023-11-22,INS050101CV,SABANA GRANDE,0.0,17.6,23.8,30.8,3.0,86.0,2.0,3.3,270.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
22,2023-11-23,INS050101CV,SABANA GRANDE,0.0,17.8,25.0,31.8,3.1,83.0,4.0,2.0,360.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
23,2023-11-24,INS050101CV,SABANA GRANDE,0.0,18.2,25.8,32.6,4.1,75.0,4.0,10.3,315.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
24,2023-11-25,INS050101CV,SABANA GRANDE,0.0,18.4,24.8,31.8,2.5,88.0,8.0,3.0,9.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
25,2023-11-26,INS050101CV,SABANA GRANDE,0.0,18.2,25.4,32.8,2.9,83.0,5.0,5.0,315.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
26,2023-11-27,INS050101CV,SABANA GRANDE,0.0,20.4,26.5,33.6,4.1,69.0,2.0,13.3,45.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
27,2023-11-28,INS050101CV,SABANA GRANDE,0.0,20.2,26.9,32.2,3.3,69.0,3.0,7.3,360.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
28,2023-11-29,INS050101CV,SABANA GRANDE,0.0,19.8,25.9,32.4,4.8,78.0,1.0,6.7,9.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
29,2023-11-30,INS050101CV,SABANA GRANDE,0.0,19.4,25.9,32.2,4.8,78.0,5.0,3.7,9.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
30,2023-12-01,INS050101CV,SABANA GRANDE,,18.0,19.6,,4.0,98.0,0.0,7.0,315.0,INSDMCL0501001CONV,14.373773,-90.830533,730.0
