No.,fecha,ID,tmin,tseca,tmax,eva_tan,hum_rel,bri_solar,nub,vel_viento,dir_viento,tsuelo_50,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-01-28,INS120101CV,5.0,14.5,22.4,2.7,64.0,8.0,5.0,0.0,0.0,16.7,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
2,2025-01-29,INS120101CV,6.2,14.2,21.2,3.7,69.0,8.6,5.0,0.0,0.0,17.7,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
3,2025-01-30,INS120101CV,6.0,14.5,21.0,2.6,75.0,6.6,5.0,0.0,0.0,17.4,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
4,2025-01-31,INS120101CV,5.0,14.5,22.2,3.9,67.0,9.3,3.0,2.0,9.0,17.1,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
5,2025-02-01,INS120101CV,8.4,14.7,22.2,3.1,69.0,9.1,5.0,2.0,90.0,17.9,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
6,2025-02-02,INS120101CV,6.0,13.5,19.4,3.8,64.0,7.9,3.0,1.3,0.0,17.5,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
7,2025-02-03,INS120101CV,9.4,15.1,21.0,3.2,68.0,7.6,8.0,3.3,90.0,19.4,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
8,2025-02-04,INS120101CV,6.0,15.9,21.2,3.8,52.0,9.8,5.0,3.3,90.0,17.3,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
9,2025-02-05,INS120101CV,7.4,14.6,22.2,4.6,72.0,7.8,7.0,2.0,0.0,18.3,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
10,2025-02-06,INS120101CV,7.0,14.6,20.4,3.1,65.0,8.3,8.0,2.0,90.0,16.9,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
11,2025-02-07,INS120101CV,4.4,14.1,21.4,3.2,69.0,9.0,8.0,0.7,0.0,17.7,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
12,2025-02-08,INS120101CV,8.4,14.6,21.0,4.0,75.0,9.2,8.0,0.7,0.0,18.0,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
13,2025-02-09,INS120101CV,7.2,14.7,20.0,3.3,86.0,4.5,5.0,0.7,0.0,15.5,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
14,2025-02-10,INS120101CV,4.2,12.7,20.2,2.0,69.0,7.3,5.0,0.7,0.0,16.1,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
15,2025-02-11,INS120101CV,5.0,12.9,19.2,2.9,80.0,8.5,3.0,0.7,0.0,17.3,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
16,2025-02-12,INS120101CV,5.0,12.5,18.2,2.3,83.0,6.6,5.0,0.0,0.0,15.9,San Marcos PHC,0.6,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
17,2025-02-13,INS120101CV,7.2,12.9,19.0,3.1,86.0,6.7,0.0,0.0,0.0,17.6,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
18,2025-02-14,INS120101CV,6.0,14.4,19.0,2.9,61.0,6.2,3.0,5.3,45.0,16.7,San Marcos PHC,0.0,INSDMCL1201001CONV,14.96715,-91.82333,2420.0
