No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_piche,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-01-29,INS130601CV,SAN PEDRO NECTA,2.3,,,,,,,,,INSDMCL1306001CONV,15.49459,-91.76244,1641.0
2,2024-01-30,INS130601CV,SAN PEDRO NECTA,0.0,7.0,15.7,21.8,0.5,87.0,3.0,10.0,180.0,INSDMCL1306001CONV,15.49459,-91.76244,1641.0
3,2024-01-31,INS130601CV,SAN PEDRO NECTA,0.0,8.0,15.9,22.2,3.2,85.0,5.0,10.0,180.0,INSDMCL1306001CONV,15.49459,-91.76244,1641.0
4,2024-02-01,INS130601CV,SAN PEDRO NECTA,0.0,7.2,18.1,26.6,2.2,76.0,0.0,9.0,360.0,INSDMCL1306001CONV,15.49459,-91.76244,1641.0
5,2024-02-02,INS130601CV,SAN PEDRO NECTA,0.0,8.0,20.5,29.6,3.7,63.0,0.0,6.7,9.0,INSDMCL1306001CONV,15.49459,-91.76244,1641.0
6,2024-02-03,INS130601CV,SAN PEDRO NECTA,0.0,9.8,20.4,28.4,5.7,74.0,2.0,9.0,360.0,INSDMCL1306001CONV,15.49459,-91.76244,1641.0
7,2024-02-04,INS130601CV,SAN PEDRO NECTA,0.0,10.2,21.1,28.8,5.0,71.0,0.0,7.7,9.0,INSDMCL1306001CONV,15.49459,-91.76244,1641.0
8,2024-02-05,INS130601CV,SAN PEDRO NECTA,0.0,8.4,19.8,28.4,5.3,68.0,0.0,13.0,180.0,INSDMCL1306001CONV,15.49459,-91.76244,1641.0
9,2024-02-06,INS130601CV,SAN PEDRO NECTA,0.0,4.5,18.3,28.0,5.5,69.0,0.0,10.0,180.0,INSDMCL1306001CONV,15.49459,-91.76244,1641.0
10,2024-02-07,INS130601CV,SAN PEDRO NECTA,,3.2,7.4,,6.3,95.0,0.0,0.0,0.0,INSDMCL1306001CONV,15.49459,-91.76244,1641.0
