No.,fecha,ID,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-03-28,INS210101CV,8.4,17.5,24.2,86.0,3.0,2.3,225.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
2,2025-03-29,INS210101CV,10.2,17.4,24.2,76.0,3.0,3.7,90.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
3,2025-03-30,INS210101CV,11.4,18.7,25.6,80.0,6.0,7.0,180.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
4,2025-03-31,INS210101CV,11.2,19.6,27.4,80.0,5.0,2.3,90.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
5,2025-04-01,INS210101CV,6.6,18.3,28.6,80.0,6.0,8.3,90.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
6,2025-04-02,INS210101CV,11.4,20.3,28.0,74.0,5.0,3.7,270.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
7,2025-04-03,INS210101CV,6.4,18.5,28.6,74.0,3.0,4.0,45.0,Potrero Carrillo,3.5,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
8,2025-04-04,INS210101CV,15.4,20.9,28.8,76.0,4.0,5.3,135.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
9,2025-04-05,INS210101CV,16.2,19.6,26.4,81.0,5.0,5.0,270.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
10,2025-04-06,INS210101CV,9.2,18.1,25.0,85.0,4.0,2.3,9.0,Potrero Carrillo,14.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
11,2025-04-07,INS210101CV,14.2,18.2,24.2,80.0,6.0,2.3,180.0,Potrero Carrillo,6.4,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
12,2025-04-08,INS210101CV,9.4,14.7,19.6,88.0,6.0,3.7,360.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
13,2025-04-09,INS210101CV,11.6,18.3,26.4,77.0,7.0,7.0,180.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
14,2025-04-10,INS210101CV,11.8,15.9,24.6,79.0,7.0,20.3,180.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
15,2025-04-11,INS210101CV,9.2,16.0,23.2,88.0,7.0,5.0,360.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
16,2025-04-12,INS210101CV,6.6,16.6,24.6,89.0,7.0,5.0,9.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
17,2025-04-13,INS210101CV,6.4,15.0,21.6,90.0,7.0,3.7,90.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
18,2025-04-14,INS210101CV,3.6,15.9,24.0,71.0,3.0,7.0,180.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
19,2025-04-15,INS210101CV,6.4,16.3,24.6,84.0,3.0,3.7,180.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
20,2025-04-16,INS210101CV,9.2,17.2,24.4,79.0,5.0,7.0,9.0,Potrero Carrillo,0.6,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
21,2025-04-17,INS210101CV,13.4,17.7,25.2,85.0,6.0,20.3,45.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
22,2025-04-18,INS210101CV,13.0,17.9,24.2,80.0,7.0,8.3,9.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
23,2025-04-19,INS210101CV,10.2,20.0,28.2,74.0,4.0,5.0,180.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
24,2025-04-20,INS210101CV,8.0,17.6,25.0,77.0,5.0,3.7,315.0,Potrero Carrillo,3.4,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
25,2025-04-21,INS210101CV,12.4,20.2,26.2,81.0,5.0,17.0,180.0,Potrero Carrillo,0.5,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
26,2025-04-22,INS210101CV,8.4,16.8,24.2,89.0,6.0,2.3,90.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
27,2025-04-23,INS210101CV,11.0,19.3,26.2,78.0,5.0,5.7,90.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
28,2025-04-24,INS210101CV,6.6,17.3,25.8,80.0,4.0,5.3,180.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
29,2025-04-25,INS210101CV,8.8,17.9,26.2,78.0,6.0,7.0,180.0,Potrero Carrillo,0.0,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
30,2025-04-26,INS210101CV,8.4,14.2,,98.0,8.0,1.0,160.0,Potrero Carrillo,,INSDMCL2101001CONV,14.74996,-89.933667,1760.0
