No.,fecha,ID,Nombre,lluvia,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-11-24,INS020302CV,SAN AGUSTIN ACASAGUASTLAN,0.0,,,,INSDMCL0203002CONV,14.9502817,-89.9738746,371.0
2,2024-11-25,INS020302CV,SAN AGUSTIN ACASAGUASTLAN,0.0,3.0,4.7,9.0,INSDMCL0203002CONV,14.9502817,-89.9738746,371.0
3,2024-11-26,INS020302CV,SAN AGUSTIN ACASAGUASTLAN,0.0,4.0,4.7,360.0,INSDMCL0203002CONV,14.9502817,-89.9738746,371.0
4,2024-11-27,INS020302CV,SAN AGUSTIN ACASAGUASTLAN,0.0,5.0,9.0,360.0,INSDMCL0203002CONV,14.9502817,-89.9738746,371.0
5,2024-11-28,INS020302CV,SAN AGUSTIN ACASAGUASTLAN,0.2,1.0,4.7,9.0,INSDMCL0203002CONV,14.9502817,-89.9738746,371.0
6,2024-11-29,INS020302CV,SAN AGUSTIN ACASAGUASTLAN,0.0,2.0,4.7,360.0,INSDMCL0203002CONV,14.9502817,-89.9738746,371.0
7,2024-11-30,INS020302CV,SAN AGUSTIN ACASAGUASTLAN,0.0,4.0,6.7,360.0,INSDMCL0203002CONV,14.9502817,-89.9738746,371.0
8,2024-12-01,INS020302CV,SAN AGUSTIN ACASAGUASTLAN,0.4,3.0,2.3,0.0,INSDMCL0203002CONV,14.9502817,-89.9738746,371.0
9,2024-12-02,INS020302CV,SAN AGUSTIN ACASAGUASTLAN,0.0,8.0,9.3,360.0,INSDMCL0203002CONV,14.9502817,-89.9738746,371.0
10,2024-12-03,INS020302CV,SAN AGUSTIN ACASAGUASTLAN,0.0,2.0,9.0,9.0,INSDMCL0203002CONV,14.9502817,-89.9738746,371.0
11,2024-12-04,INS020302CV,SAN AGUSTIN ACASAGUASTLAN,0.0,3.0,6.7,360.0,INSDMCL0203002CONV,14.9502817,-89.9738746,371.0
12,2024-12-05,INS020302CV,SAN AGUSTIN ACASAGUASTLAN,0.0,8.0,7.0,360.0,INSDMCL0203002CONV,14.9502817,-89.9738746,371.0
13,2024-12-06,INS020302CV,SAN AGUSTIN ACASAGUASTLAN,,6.0,0.0,0.0,INSDMCL0203002CONV,14.9502817,-89.9738746,371.0
