No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-05-07,INS020301CV,LOS ALBORES,0.0,17.5,25.8,32.5,3.0,0.7,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
2,2024-05-08,INS020301CV,LOS ALBORES,0.0,19.0,26.0,33.0,3.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
3,2024-05-09,INS020301CV,LOS ALBORES,0.0,19.0,26.0,33.0,4.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
4,2024-05-10,INS020301CV,LOS ALBORES,0.0,17.0,26.0,33.5,5.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
5,2024-05-11,INS020301CV,LOS ALBORES,0.0,18.0,27.0,34.0,5.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
6,2024-05-12,INS020301CV,LOS ALBORES,0.0,17.0,26.0,34.0,5.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
7,2024-05-13,INS020301CV,LOS ALBORES,2.3,18.0,26.7,34.5,6.0,0.7,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
8,2024-05-14,INS020301CV,LOS ALBORES,0.0,17.0,22.7,32.5,5.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
9,2024-05-15,INS020301CV,LOS ALBORES,17.6,17.0,23.3,32.5,6.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
10,2024-05-16,INS020301CV,LOS ALBORES,0.0,17.0,25.7,33.0,4.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
11,2024-05-17,INS020301CV,LOS ALBORES,0.0,18.0,25.0,32.0,5.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
12,2024-05-18,INS020301CV,LOS ALBORES,6.5,19.0,24.8,33.5,6.0,0.7,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
13,2024-05-19,INS020301CV,LOS ALBORES,5.4,15.5,21.5,32.0,7.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
14,2024-05-20,INS020301CV,LOS ALBORES,0.0,17.0,23.5,33.5,7.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
15,2024-05-21,INS020301CV,LOS ALBORES,0.0,19.0,24.7,30.8,4.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
16,2024-05-22,INS020301CV,LOS ALBORES,0.0,17.5,26.7,31.0,4.0,0.7,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
17,2024-05-23,INS020301CV,LOS ALBORES,0.0,18.0,25.3,32.0,6.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
18,2024-05-24,INS020301CV,LOS ALBORES,0.0,19.5,26.0,32.0,6.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
19,2024-05-25,INS020301CV,LOS ALBORES,0.0,17.5,25.0,30.0,6.0,0.7,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
20,2024-05-26,INS020301CV,LOS ALBORES,0.0,20.0,25.5,33.0,7.0,0.7,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
21,2024-05-27,INS020301CV,LOS ALBORES,0.0,19.0,25.5,31.5,3.0,0.7,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
22,2024-05-28,INS020301CV,LOS ALBORES,1.2,19.0,24.8,31.0,5.0,0.7,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
23,2024-05-29,INS020301CV,LOS ALBORES,0.0,16.0,23.7,31.0,4.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
24,2024-05-30,INS020301CV,LOS ALBORES,0.0,15.5,23.5,29.0,7.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
25,2024-05-31,INS020301CV,LOS ALBORES,0.0,17.0,22.2,26.5,6.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
26,2024-06-01,INS020301CV,LOS ALBORES,7.4,16.0,22.3,26.5,7.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
27,2024-06-02,INS020301CV,LOS ALBORES,0.0,16.5,22.8,28.0,4.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
28,2024-06-03,INS020301CV,LOS ALBORES,0.0,16.5,22.8,29.0,5.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
29,2024-06-04,INS020301CV,LOS ALBORES,0.0,16.8,25.2,33.5,5.0,0.7,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
30,2024-06-05,INS020301CV,LOS ALBORES,,18.0,25.0,,6.0,0.0,0.0,INSDMCL0203001CONV,15.0525,-89.949167,1391.0
