No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2024-04-20,INS121601CV,CATARINA,5.9,23.6,29.6,36.4,78.0,5.0,15.7,360.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
2,2024-04-21,INS121601CV,CATARINA,31.1,24.2,29.3,37.4,83.0,4.0,14.0,9.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
3,2024-04-22,INS121601CV,CATARINA,16.8,22.8,28.5,35.4,83.0,4.0,5.3,135.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
4,2024-04-23,INS121601CV,CATARINA,9.5,24.0,29.7,35.6,81.0,7.0,9.7,9.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
5,2024-04-24,INS121601CV,CATARINA,1.4,23.8,29.7,37.4,75.0,5.0,9.3,9.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
6,2024-04-25,INS121601CV,CATARINA,0.1,23.0,29.7,36.2,77.0,5.0,7.3,270.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
7,2024-04-26,INS121601CV,CATARINA,2.2,25.2,31.4,36.0,73.0,5.0,11.7,270.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
8,2024-04-27,INS121601CV,CATARINA,5.4,25.0,29.1,36.0,83.0,8.0,9.3,360.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
9,2024-04-28,INS121601CV,CATARINA,12.8,24.0,29.5,37.0,84.0,5.0,11.0,360.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
10,2024-04-29,INS121601CV,CATARINA,78.2,24.4,28.2,34.8,86.0,8.0,9.0,135.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
11,2024-04-30,INS121601CV,CATARINA,60.7,23.8,28.3,34.2,82.0,5.0,5.3,360.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
12,2024-05-01,INS121601CV,CATARINA,4.7,23.6,30.1,35.4,79.0,4.0,7.3,135.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
13,2024-05-02,INS121601CV,CATARINA,1.6,25.2,30.2,35.2,81.0,4.0,9.3,360.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
14,2024-05-03,INS121601CV,CATARINA,0.0,24.2,30.9,35.2,72.0,3.0,11.0,9.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
15,2024-05-04,INS121601CV,CATARINA,0.0,24.8,30.5,36.2,75.0,0.0,11.7,9.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
16,2024-05-05,INS121601CV,CATARINA,12.3,25.4,30.1,37.0,84.0,4.0,11.7,360.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
17,2024-05-06,INS121601CV,CATARINA,3.0,24.8,29.5,35.2,84.0,4.0,13.3,135.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
18,2024-05-07,INS121601CV,CATARINA,0.0,23.6,29.7,35.8,79.0,5.0,7.3,360.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
19,2024-05-08,INS121601CV,CATARINA,0.0,25.2,30.1,36.8,77.0,5.0,11.0,9.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
20,2024-05-09,INS121601CV,CATARINA,0.0,25.4,30.9,37.0,75.0,5.0,9.0,9.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
21,2024-05-10,INS121601CV,CATARINA,0.0,25.8,31.5,35.8,72.0,5.0,9.0,270.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
22,2024-05-11,INS121601CV,CATARINA,4.7,25.4,30.6,37.4,76.0,3.0,13.0,9.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
23,2024-05-12,INS121601CV,CATARINA,0.3,24.4,30.5,37.0,79.0,5.0,13.3,360.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
24,2024-05-13,INS121601CV,CATARINA,0.0,26.0,30.5,37.8,77.0,7.0,20.3,360.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
25,2024-05-14,INS121601CV,CATARINA,31.9,24.8,28.5,36.0,79.0,5.0,11.7,360.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
26,2024-05-15,INS121601CV,CATARINA,5.3,23.2,30.3,35.6,74.0,8.0,9.7,360.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
27,2024-05-16,INS121601CV,CATARINA,1.2,24.2,29.3,36.0,76.0,7.0,7.3,9.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
28,2024-05-17,INS121601CV,CATARINA,0.0,24.2,29.7,34.0,83.0,3.0,11.0,270.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
29,2024-05-18,INS121601CV,CATARINA,5.2,25.2,30.7,34.8,78.0,5.0,7.0,9.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
30,2024-05-19,INS121601CV,CATARINA,,25.4,26.6,,91.0,4.0,7.0,360.0,INSDMCL1216001CONV,14.856361,-92.074858,233.0
