No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-05-03,INS071301CV,EL CAPITAN,5.0,13.0,20.3,25.0,83.0,6.0,4.7,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
2,2025-05-04,INS071301CV,EL CAPITAN,0.0,13.0,21.5,26.0,82.0,6.0,4.0,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
3,2025-05-05,INS071301CV,EL CAPITAN,4.0,13.0,21.7,27.0,82.0,5.0,8.0,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
4,2025-05-06,INS071301CV,EL CAPITAN,0.0,12.0,20.8,27.0,84.0,4.0,4.0,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
5,2025-05-07,INS071301CV,EL CAPITAN,0.0,12.5,20.5,26.0,80.0,5.0,4.7,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
6,2025-05-08,INS071301CV,EL CAPITAN,0.0,12.0,21.0,27.0,85.0,3.0,8.7,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
7,2025-05-09,INS071301CV,EL CAPITAN,0.5,13.0,20.7,25.6,82.0,7.0,7.0,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
8,2025-05-10,INS071301CV,EL CAPITAN,4.0,13.0,20.7,27.0,82.0,6.0,8.0,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
9,2025-05-11,INS071301CV,EL CAPITAN,0.0,12.0,21.0,25.4,81.0,6.0,4.0,9.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
10,2025-05-12,INS071301CV,EL CAPITAN,9.0,13.0,21.7,28.0,80.0,4.0,7.3,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
11,2025-05-13,INS071301CV,EL CAPITAN,0.5,11.0,20.7,27.0,85.0,4.0,8.0,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
12,2025-05-14,INS071301CV,EL CAPITAN,0.0,13.0,20.3,27.0,84.0,7.0,6.0,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
13,2025-05-15,INS071301CV,EL CAPITAN,0.0,13.0,20.7,26.0,85.0,5.0,6.7,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
14,2025-05-16,INS071301CV,EL CAPITAN,0.0,13.0,20.1,26.0,89.0,4.0,4.0,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
15,2025-05-17,INS071301CV,EL CAPITAN,0.0,12.0,20.9,27.0,83.0,4.0,8.7,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
16,2025-05-18,INS071301CV,EL CAPITAN,0.0,13.0,21.0,26.0,82.0,5.0,5.7,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
17,2025-05-19,INS071301CV,EL CAPITAN,6.5,14.0,21.1,27.0,81.0,6.0,8.7,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
18,2025-05-20,INS071301CV,EL CAPITAN,0.0,12.0,20.7,26.0,81.0,5.0,5.7,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
19,2025-05-21,INS071301CV,EL CAPITAN,2.5,14.0,20.7,25.0,84.0,5.0,7.3,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
20,2025-05-22,INS071301CV,EL CAPITAN,0.0,11.0,21.1,27.0,84.0,3.0,6.7,0.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
21,2025-05-23,INS071301CV,EL CAPITAN,32.0,12.0,20.3,27.0,81.0,5.0,6.7,0.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
22,2025-05-24,INS071301CV,EL CAPITAN,0.0,13.0,21.0,26.0,82.0,6.0,5.0,0.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
23,2025-05-25,INS071301CV,EL CAPITAN,0.0,15.0,22.1,27.0,76.0,5.0,5.7,9.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
24,2025-05-26,INS071301CV,EL CAPITAN,0.0,13.0,21.0,26.0,82.0,7.0,8.0,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
25,2025-05-27,INS071301CV,EL CAPITAN,0.0,12.0,21.0,26.0,85.0,4.0,7.3,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
26,2025-05-28,INS071301CV,EL CAPITAN,0.0,12.0,21.0,26.0,85.0,5.0,6.3,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
27,2025-05-29,INS071301CV,EL CAPITAN,4.4,13.0,21.0,27.0,84.0,4.0,6.7,0.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
28,2025-05-30,INS071301CV,EL CAPITAN,17.0,13.0,20.4,25.0,86.0,5.0,4.0,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
29,2025-05-31,INS071301CV,EL CAPITAN,6.0,12.0,20.7,26.0,85.0,3.0,5.7,180.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
30,2025-06-01,INS071301CV,EL CAPITAN,,12.0,21.0,,82.0,6.0,7.5,90.0,INSDMCL0713001CONV,14.644497,-91.140524,1562.0
