No.,fecha,ID,tmin,tseca,tmax,hum_rel,nub,vel_viento,dir_viento,Nombre,lluvia,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-04-03,INS200501CV,23.6,30.9,37.8,59.0,5.0,9.0,360.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
2,2025-04-04,INS200501CV,23.2,32.5,40.0,59.0,4.0,9.0,360.0,Camotán,29.8,INSDMCL2005001CONV,14.821751,-89.374614,450.0
3,2025-04-05,INS200501CV,22.2,31.0,37.2,52.0,4.0,9.0,45.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
4,2025-04-06,INS200501CV,22.0,28.9,38.2,60.0,4.0,9.0,225.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
5,2025-04-07,INS200501CV,24.2,30.4,37.2,60.0,6.0,9.0,45.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
6,2025-04-08,INS200501CV,23.6,26.8,32.2,69.0,7.0,15.3,360.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
7,2025-04-09,INS200501CV,20.0,25.5,30.2,68.0,7.0,13.3,45.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
8,2025-04-10,INS200501CV,21.6,25.6,30.2,64.0,7.0,9.0,90.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
9,2025-04-11,INS200501CV,21.4,27.2,32.2,60.0,5.0,11.0,90.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
10,2025-04-12,INS200501CV,19.2,26.0,32.0,70.0,6.0,11.0,90.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
11,2025-04-13,INS200501CV,19.6,26.1,32.8,71.0,5.0,9.0,360.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
12,2025-04-14,INS200501CV,17.2,27.3,35.0,44.0,4.0,11.0,90.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
13,2025-04-15,INS200501CV,22.0,27.7,31.8,60.0,7.0,13.3,270.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
14,2025-04-16,INS200501CV,21.0,27.3,33.0,64.0,7.0,13.3,45.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
15,2025-04-17,INS200501CV,22.0,28.3,35.0,66.0,6.0,11.0,360.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
16,2025-04-18,INS200501CV,25.0,30.0,35.2,65.0,3.0,11.3,360.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
17,2025-04-19,INS200501CV,21.2,28.9,38.0,59.0,4.0,9.0,90.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
18,2025-04-20,INS200501CV,23.2,31.1,40.0,63.0,4.0,11.3,90.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
19,2025-04-21,INS200501CV,24.0,31.7,38.4,63.0,7.0,11.3,45.0,Camotán,5.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
20,2025-04-22,INS200501CV,21.2,29.7,37.0,66.0,4.0,9.0,360.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
21,2025-04-23,INS200501CV,20.4,29.4,37.2,61.0,4.0,9.0,225.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
22,2025-04-24,INS200501CV,21.6,29.7,37.4,57.0,4.0,9.0,360.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
23,2025-04-25,INS200501CV,20.2,29.9,36.8,54.0,4.0,11.0,45.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
24,2025-04-26,INS200501CV,22.2,29.5,36.0,51.0,3.0,7.0,9.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
25,2025-04-27,INS200501CV,19.0,28.9,36.4,55.0,3.0,11.0,360.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
26,2025-04-28,INS200501CV,20.2,28.1,35.2,72.0,4.0,13.3,9.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
27,2025-04-29,INS200501CV,21.4,29.9,37.2,58.0,5.0,11.0,90.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
28,2025-04-30,INS200501CV,19.6,29.4,38.0,61.0,3.0,9.0,9.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
29,2025-05-01,INS200501CV,23.4,31.3,40.4,54.0,4.0,9.0,90.0,Camotán,0.0,INSDMCL2005001CONV,14.821751,-89.374614,450.0
30,2025-05-02,INS200501CV,24.0,25.2,,71.0,5.0,7.0,340.0,Camotán,,INSDMCL2005001CONV,14.821751,-89.374614,450.0
