No.,fecha,ID,Nombre,lluvia,tmin,tseca,tmax,eva_piche,hum_rel,nub,vel_viento,dir_viento,ID_INSIVUMEH,Latitud,Longitud,Altitud
1,2025-06-09,INS141301CV,NEBAJ,2.0,11.2,18.3,27.2,2.2,85.0,5.0,2.3,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
2,2025-06-10,INS141301CV,NEBAJ,56.5,12.0,17.0,25.2,2.3,93.0,5.0,0.0,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
3,2025-06-11,INS141301CV,NEBAJ,0.0,9.0,19.7,26.0,0.5,89.0,6.0,3.0,225.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
4,2025-06-12,INS141301CV,NEBAJ,10.6,10.6,18.0,25.6,1.0,91.0,8.0,0.0,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
5,2025-06-13,INS141301CV,NEBAJ,40.2,11.6,18.1,26.8,0.9,92.0,5.0,2.3,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
6,2025-06-14,INS141301CV,NEBAJ,4.1,10.2,16.8,25.2,1.3,93.0,5.0,0.7,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
7,2025-06-15,INS141301CV,NEBAJ,20.8,12.8,19.0,26.4,1.0,88.0,7.0,0.0,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
8,2025-06-16,INS141301CV,NEBAJ,45.1,12.4,18.7,22.8,1.0,76.0,8.0,0.0,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
9,2025-06-17,INS141301CV,NEBAJ,5.9,13.8,18.7,25.6,0.0,87.0,8.0,0.0,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
10,2025-06-18,INS141301CV,NEBAJ,0.0,13.8,18.5,22.4,1.2,89.0,6.0,0.0,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
11,2025-06-19,INS141301CV,NEBAJ,32.6,14.4,16.9,23.8,0.8,96.0,8.0,0.0,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
12,2025-06-20,INS141301CV,NEBAJ,29.8,13.2,16.9,24.2,0.0,94.0,8.0,0.0,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
13,2025-06-21,INS141301CV,NEBAJ,8.9,12.6,16.5,24.0,0.9,93.0,7.0,4.3,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
14,2025-06-22,INS141301CV,NEBAJ,2.2,12.8,18.1,25.0,0.0,85.0,7.0,0.0,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
15,2025-06-23,INS141301CV,NEBAJ,5.0,12.0,17.4,24.6,2.0,82.0,8.0,4.3,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
16,2025-06-24,INS141301CV,NEBAJ,0.0,12.8,17.6,24.6,0.9,80.0,7.0,6.7,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
17,2025-06-25,INS141301CV,NEBAJ,2.0,10.4,17.4,23.8,1.4,84.0,8.0,0.7,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
18,2025-06-26,INS141301CV,NEBAJ,29.2,11.0,17.9,25.0,1.5,89.0,8.0,0.7,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
19,2025-06-27,INS141301CV,NEBAJ,47.6,13.0,17.5,24.0,0.4,93.0,5.0,4.3,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
20,2025-06-28,INS141301CV,NEBAJ,23.0,13.4,19.1,26.0,0.2,86.0,8.0,4.3,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
21,2025-06-29,INS141301CV,NEBAJ,9.5,13.8,18.6,26.0,0.8,88.0,8.0,0.7,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
22,2025-06-30,INS141301CV,NEBAJ,0.9,11.4,18.3,25.4,0.9,86.0,8.0,6.7,315.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
23,2025-07-01,INS141301CV,NEBAJ,4.4,13.4,18.8,26.6,0.7,84.0,7.0,0.0,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
24,2025-07-02,INS141301CV,NEBAJ,0.2,10.6,18.3,26.2,1.2,83.0,8.0,7.3,9.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
25,2025-07-03,INS141301CV,NEBAJ,0.0,11.6,19.1,26.4,1.5,85.0,7.0,7.3,9.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
26,2025-07-04,INS141301CV,NEBAJ,0.0,9.2,18.1,27.8,2.5,84.0,4.0,8.7,9.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
27,2025-07-05,INS141301CV,NEBAJ,0.0,9.0,19.0,28.6,1.8,81.0,4.0,6.7,9.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
28,2025-07-06,INS141301CV,NEBAJ,37.7,12.2,17.7,26.2,0.8,85.0,7.0,5.0,9.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
29,2025-07-07,INS141301CV,NEBAJ,16.4,11.6,17.7,25.4,0.8,89.0,7.0,0.0,0.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
30,2025-07-08,INS141301CV,NEBAJ,,11.2,16.7,,0.0,80.0,8.0,10.0,10.0,INSDMCL1413001CONV,15.399247,-91.142084,1906.0
